id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,clave_partido
17349,1990-06-18,Cameroon,Russia,0,4,FIFA World Cup,Bari,Italy,True,1990-06-18_Cameroon_Russia
17350,1990-06-19,Austria,United States,2,1,FIFA World Cup,Florence,Italy,True,1990-06-19_Austria_United States
17351,1990-06-19,Germany,Colombia,1,1,FIFA World Cup,Milan,Italy,True,1990-06-19_Germany_Colombia
17352,1990-06-19,Italy,Czechoslovakia,2,0,FIFA World Cup,Rome,Italy,False,1990-06-19_Italy_Czechoslovakia
17353,1990-06-19,Yugoslavia,United Arab Emirates,4,1,FIFA World Cup,Bologna,Italy,True,1990-06-19_Yugoslavia_United Arab Emirates
17354,1990-06-20,Brazil,Scotland,1,0,FIFA World Cup,Turin,Italy,True,1990-06-20_Brazil_Scotland
17355,1990-06-20,Sweden,Costa Rica,1,2,FIFA World Cup,Genoa,Italy,True,1990-06-20_Sweden_Costa Rica
17356,1990-06-21,Belgium,Spain,1,2,FIFA World Cup,Verona,Italy,True,1990-06-21_Belgium_Spain
17357,1990-06-21,England,Egypt,1,0,FIFA World Cup,Cagliari,Italy,True,1990-06-21_England_Egypt
17358,1990-06-21,Republic of Ireland,Netherlands,1,1,FIFA World Cup,Palermo,Italy,True,1990-06-21_Republic of Ireland_Netherlands
17359,1990-06-21,South Korea,Uruguay,0,1,FIFA World Cup,Udine,Italy,True,1990-06-21_South Korea_Uruguay
17360,1990-06-23,Cameroon,Colombia,2,1,FIFA World Cup,Naples,Italy,True,1990-06-23_Cameroon_Colombia
17361,1990-06-23,Czechoslovakia,Costa Rica,4,1,FIFA World Cup,Bari,Italy,True,1990-06-23_Czechoslovakia_Costa Rica
17362,1990-06-24,Brazil,Argentina,0,1,FIFA World Cup,Turin,Italy,True,1990-06-24_Brazil_Argentina
17363,1990-06-24,Germany,Netherlands,2,1,FIFA World Cup,Milan,Italy,True,1990-06-24_Germany_Netherlands
17364,1990-06-25,Republic of Ireland,Romania,0,0,FIFA World Cup,Genoa,Italy,True,1990-06-25_Republic of Ireland_Romania
17365,1990-06-25,Italy,Uruguay,2,0,FIFA World Cup,Rome,Italy,False,1990-06-25_Italy_Uruguay
17366,1990-06-26,England,Belgium,1,0,FIFA World Cup,Bologna,Italy,True,1990-06-26_England_Belgium
17367,1990-06-26,Spain,Yugoslavia,1,2,FIFA World Cup,Verona,Italy,True,1990-06-26_Spain_Yugoslavia
17368,1990-06-30,Italy,Republic of Ireland,1,0,FIFA World Cup,Rome,Italy,False,1990-06-30_Italy_Republic of Ireland
17369,1990-06-30,Yugoslavia,Argentina,0,0,FIFA World Cup,Florence,Italy,True,1990-06-30_Yugoslavia_Argentina
17370,1990-07-01,Cameroon,England,2,3,FIFA World Cup,Naples,Italy,True,1990-07-01_Cameroon_England
17371,1990-07-01,Germany,Czechoslovakia,1,0,FIFA World Cup,Milan,Italy,True,1990-07-01_Germany_Czechoslovakia
17372,1990-07-03,Italy,Argentina,1,1,FIFA World Cup,Naples,Italy,False,1990-07-03_Italy_Argentina
17373,1990-07-04,Germany,England,1,1,FIFA World Cup,Turin,Italy,True,1990-07-04_Germany_England
17375,1990-07-07,Italy,England,2,1,FIFA World Cup,Bari,Italy,False,1990-07-07_Italy_England
17376,1990-07-08,Germany,Argentina,1,0,FIFA World Cup,Rome,Italy,True,1990-07-08_Germany_Argentina
19765,1994-06-17,Germany,Bolivia,1,0,FIFA World Cup,Chicago,United States,True,1994-06-17_Germany_Bolivia
19766,1994-06-17,Spain,South Korea,2,2,FIFA World Cup,Dallas,United States,True,1994-06-17_Spain_South Korea
19767,1994-06-18,Colombia,Romania,1,3,FIFA World Cup,Pasadena,United States,True,1994-06-18_Colombia_Romania
19768,1994-06-18,Italy,Republic of Ireland,0,1,FIFA World Cup,East Rutherford,United States,True,1994-06-18_Italy_Republic of Ireland
19769,1994-06-18,United States,Switzerland,1,1,FIFA World Cup,Pontiac,United States,False,1994-06-18_United States_Switzerland
19770,1994-06-19,Belgium,Morocco,1,0,FIFA World Cup,Orlando,United States,True,1994-06-19_Belgium_Morocco
19771,1994-06-19,Cameroon,Sweden,2,2,FIFA World Cup,Pasadena,United States,True,1994-06-19_Cameroon_Sweden
19772,1994-06-19,Norway,Mexico,1,0,FIFA World Cup,"Washington, D.C.",United States,True,1994-06-19_Norway_Mexico
